participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Riyad-p5,0,3,33,359.610403,359.610663,1,0,0.0,0.0,0,5,5.0,True,6,4,2,1,3,3,0.6807617537732558
Riyad-p6,0,1,83,1324.993628,1324.993628,1,27,0.0,0.0,0,4,4.0,True,4,7,0,2,1,3,0.12338103487442321
Riyad-p6,3,2,57,673.631891,673.631891,1,3,0.0,0.0,0,4,4.0,True,4,7,0,2,1,3,0.12338103487442321
Riyad-p6,5,3,75,883.660109,883.660479,1,17,0.0,0.0,1,5,5.0,True,4,7,0,2,1,3,0.12338103487442321
Riyad-p7,1,1,48,414.059398,414.059398,1,9,0.0,0.0,0,4,4.0,True,8,7,2,3,3,3,1.7681419273875194
Riyad-p7,3,2,48,500.802601,500.802601,1,7,0.0,0.0,0,4,4.0,True,8,7,2,3,3,3,1.7681419273875194
Riyad-p7,2,3,30,283.373015,283.373232,2,1,0.0,0.0,0,4,4.0,True,8,7,2,3,3,3,1.7681419273875194
Riyad-p8,2,1,62,688.606608,688.606608,1,4,0.0,0.0,5,3,3.0,True,1,3,0,1,1,2,-1.1336130692392568
Riyad-p8,1,2,58,747.470934,747.470934,2,8,0.0,0.0,9,4,4.0,True,1,3,0,1,1,2,-1.1336130692392568
Riyad-p8,5,3,49,511.298236,511.298901,1,4,0.0,0.0,5,5,4.0,True,1,3,0,1,1,2,-1.1336130692392568
Riyad-p9,3,1,124,1742.61559,1742.61559,3,64,0.0,0.0,0,4,4.0,True,7,8,0,3,1,2,0.521550035329224
Riyad-p9,0,2,89,1014.783552,1014.783552,0,63,0.12,0.18,0,4,,False,7,8,0,3,1,2,0.521550035329224
Riyad-p9,5,3,0,0.000447,0.000447,0,0,0.5,1.0,0,-1,,False,7,8,0,3,1,2,0.521550035329224
