restarts,conflicts,decisions,propagations,puzzle_id,solving_time,nvars_input,nclauses_input,nvars_solver,nclauses_solver
1,2,11,461,908,1.04,313,1200,313,1017
1,7,12,412,909,1.11,314,1275,314,499
1,23,53,1931,910,1.2,327,1231,327,1231
1,9,37,861,911,1.13,327,1270,327,1090
1,8,19,585,912,1.17,321,1290,321,899
1,2,7,375,913,1.11,324,1248,324,823
1,2,6,324,914,1.03,303,1200,303,62
1,0,2,305,915,1.0,304,1181,304,0
1,2,8,340,916,1.12,328,1309,328,1309
1,10,31,889,917,1.21,312,1215,312,1215
1,0,4,312,918,1.05,311,1222,311,1222
1,2,7,369,919,1.12,312,1291,312,230
1,4,12,386,920,1.15,309,1337,309,1337
1,3,7,342,921,1.06,306,1186,306,571
1,0,5,300,922,1.17,299,1241,299,134
1,9,28,799,923,1.18,329,1312,329,1312
1,5,21,667,924,1.1,329,1270,329,959
1,6,13,652,925,1.13,322,1278,322,1278
1,1,8,303,926,1.03,300,1202,300,1202
1,19,82,1398,927,1.19,325,1291,325,1107
1,14,55,1045,928,1.36,327,1309,327,1309
1,5,14,732,929,1.09,314,1248,314,1172
1,5,19,783,930,1.24,319,1337,319,1337
1,10,28,662,931,1.15,312,1252,312,1252
1,3,13,435,932,1.1,317,1254,317,1037
1,10,33,641,933,1.55,323,1260,323,1101
1,2,10,386,934,1.78,310,1247,310,476
1,5,12,408,935,1.16,317,1271,317,1077
1,5,13,483,936,1.3,321,1270,321,454
1,9,22,630,937,1.34,318,1242,318,1242
1,17,33,1287,938,1.32,331,1323,331,1323
1,4,8,482,939,1.07,311,1169,311,1169
1,3,14,563,940,1.25,297,1199,297,825
1,1,7,343,941,1.13,319,1245,319,73
1,10,35,899,942,1.36,321,1310,321,1310
1,5,11,367,943,1.15,304,1098,304,509
1,8,22,794,944,1.27,318,1305,318,1305
1,2,11,349,945,1.19,324,1281,324,1129
1,6,19,418,946,1.34,323,1249,323,465
1,0,2,309,947,1.57,308,1185,308,0
1,23,75,1774,948,1.63,333,1370,333,1370
1,0,3,313,949,1.15,312,1275,312,24
1,7,27,565,950,1.23,321,1313,321,1209
1,1,11,329,951,1.14,316,1246,316,689
1,7,17,508,952,1.9,315,1267,315,642
1,17,60,1731,953,1.22,329,1250,329,1129
1,7,24,548,954,1.17,315,1260,315,1018
1,11,35,1082,955,1.23,322,1272,322,1272
1,0,2,317,956,1.17,316,1229,316,0
1,2,8,416,957,1.31,318,1230,318,514
1,2,16,413,958,1.33,326,1319,326,1181
1,4,18,687,959,1.46,324,1279,324,1279
1,0,3,306,960,1.52,305,1173,305,39
1,0,9,332,961,1.61,331,1291,331,914
1,0,5,323,962,1.35,322,1204,322,394
1,2,7,331,963,1.65,322,1173,322,531
1,6,21,595,964,2.78,321,1352,321,965
1,6,17,854,965,1.35,318,1234,318,947
1,7,27,580,966,1.33,302,1239,302,1239
1,20,50,1464,967,1.4,311,1288,311,1288
1,10,37,890,968,3.5,327,1312,327,865
1,7,25,793,969,1.37,322,1244,322,1244
1,17,42,1428,970,1.4,323,1265,323,1132
1,3,14,526,971,2.27,332,1236,332,740
1,9,18,646,972,1.82,314,1229,314,1229
1,7,14,496,973,1.3,306,1251,306,1122
1,4,11,405,974,1.18,306,1184,306,1184
1,0,7,300,975,1.61,299,1241,299,914
1,1,4,313,976,2.72,310,1121,310,34
1,6,17,524,977,2.78,312,1284,312,1143
1,15,34,1231,978,1.35,318,1263,318,1263
1,3,10,344,979,1.27,321,1242,321,737
1,5,11,650,980,1.25,312,1296,312,997
1,16,66,1343,981,1.39,329,1325,329,1277
1,4,14,593,982,1.29,318,1242,318,951
1,5,8,631,983,1.82,312,1222,312,864
1,4,12,418,984,1.04,278,1041,278,661
1,10,32,770,985,1.26,318,1297,318,1297
1,2,7,359,986,1.32,315,1280,315,135
1,17,40,1277,987,1.35,326,1316,326,1316
1,1,8,365,988,1.29,315,1324,315,380
1,3,12,398,989,1.11,312,1158,312,718
1,10,35,1022,990,1.2,318,1249,318,1249
1,14,27,906,991,1.68,326,1265,326,1265
1,5,18,574,992,1.15,321,1222,321,1095
1,0,8,316,993,1.13,315,1237,315,1074
1,5,13,439,994,1.09,312,1184,312,1122
1,4,19,475,995,1.15,315,1241,315,1241
1,8,33,547,996,1.44,333,1233,333,822
1,2,14,382,997,1.28,326,1289,326,1289
1,11,27,1006,998,1.21,313,1241,313,1241
1,21,55,1705,999,1.27,330,1301,330,1301
1,6,19,589,1000,1.18,316,1287,316,809
